Procuraduría Agraria 	 procuraduria-agraria 	 Ubicación geográfica de las Delegaciones y Residencias 	 http://www.pa.gob.mx/datosabiertos/Direcciones-Delegaciones-y-residencias-PA.csv 	 200 	 0 	 Wed Jan 13 11:53:15 CST 2016
SEMARNAT 	 semarnat 	 Estaciones de medición de contaminantes 2015 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/estaciones_medicion_contaminantes_por_municipio_2015.csv 	 200 	 0 	 Wed Jan 13 13:09:51 CST 2016
SEMARNAT 	 semarnat 	 Estaciones de medición de contaminantes 2014 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/estaciones_de_medicion_de_contaminantes.csv 	 200 	 0 	 Wed Jan 13 13:09:51 CST 2016
SEMARNAT 	 semarnat 	 Especies hongos y plantas 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/especies_hongos_y_plantas_2014.csv 	 200 	 0 	 Wed Jan 13 13:09:52 CST 2016
SEMARNAT 	 semarnat 	 especies animales 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/especies_animales_por_estado_2014.csv 	 200 	 0 	 Wed Jan 13 13:09:52 CST 2016
SEMARNAT 	 semarnat 	 inventario de emisiones 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/emisiones_fuentes_fijas_sector_scian_2008.csv 	 200 	 0 	 Wed Jan 13 13:09:52 CST 2016
SEMARNAT 	 semarnat 	 incendios forestales 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/duracion_y_atencion_de_incendios_forestales.csv 	 200 	 0 	 Wed Jan 13 13:09:52 CST 2016
SEMARNAT 	 semarnat 	 degradación de suelos 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/degradacion_de_suelos.csv 	 200 	 0 	 Wed Jan 13 13:09:52 CST 2016
SEMARNAT 	 semarnat 	 declaratorias de emergencia 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/declaratoria_emergencia_publicadas_dof.csv 	 200 	 0 	 Wed Jan 13 13:09:52 CST 2016
SEMARNAT 	 semarnat 	 control de plagas y enfermedades 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/control_de_plagas_y_enfermedades_forestales.csv 	 200 	 0 	 Wed Jan 13 13:09:52 CST 2016
SEMARNAT 	 semarnat 	 Unidades de Manejo para la conservación de la vida silvestre 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/conservacion_de_la_vida_silvestre.csv 	 200 	 1 	 Wed Jan 13 13:09:53 CST 2016
SEMARNAT 	 semarnat 	 pago por servicios ambientales del bosque 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/beneficiarios_psa-b.csv 	 200 	 0 	 Wed Jan 13 13:09:53 CST 2016
SEMARNAT 	 semarnat 	 Áreas Naturales Protegidas 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/anp_decretadas.csv 	 200 	 0 	 Wed Jan 13 13:09:53 CST 2016
SEMARNAT 	 semarnat 	 Volúmenes de recarga y extracción de acuíferos sobreexplotados 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/recarga_y_extraccion_de_acuiferos_sobreexplotados.csv 	 200 	 0 	 Wed Jan 13 13:09:53 CST 2016
SEMARNAT 	 semarnat 	 Superficie incorporada al manejo técnico dentro de programas de desarrollo forestal 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/superficie_incorporada_al_manejo_tecnico_forestal.csv 	 200 	 0 	 Wed Jan 13 13:09:53 CST 2016
SEMARNAT 	 semarnat 	 pago por servicios ambientales hidrológicos 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/pagos_por_servicios_ambientales_hidrologicos_bosque.csv 	 200 	 1 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 Plantas de tratamiento 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/plantas_de_tratamiento_de_agua_residual_municipal.csv 	 200 	 0 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 Volúmenes concesionados por tipo de uso y entidad federativa 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/volumen_concesionado_por_uso_y_entidad.csv 	 200 	 0 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 Número de incendios forestales mensuales 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/numero_de_incendios_forestales.csv 	 200 	 0 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 escurrimiento superficial 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/escurrimiento_superficial_virgen.csv 	 200 	 0 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 Sitios de disposición final de residuos sólidos urbanos, 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/sitios_de_disposicion_final_de_residuos_solidos_urbanos.csv 	 200 	 0 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 disponibilidad de servicios relacionados con los residuos sólidos urbanos 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/situacion_de_disponibilidad_de_servicios.csv 	 200 	 0 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 Sitios de Monitoreo de Calidad de Agua Superficial Demanda bioquímica de oxígeno 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/calidad_de_agua_dbo.zip 	 200 	 0 	 Wed Jan 13 13:09:54 CST 2016
SEMARNAT 	 semarnat 	 Sitios de Monitoreo de Calidad de Agua Superficial sólidos suspendidos totales 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/calidad_de_agua_sst.zip 	 200 	 1 	 Wed Jan 13 13:09:55 CST 2016
SEMARNAT 	 semarnat 	 Sitios de Monitoreo de Calidad de Agua Superficial demanda química de oxígeno 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/calidad_de_agua_dqo.zip 	 200 	 0 	 Wed Jan 13 13:09:55 CST 2016
SEMARNAT 	 semarnat 	 Plantas de tratamiento en shapefile 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/plantas_de_tratamiento_de_agua.zip 	 200 	 0 	 Wed Jan 13 13:09:55 CST 2016
SEMARNAT 	 semarnat 	 Sitios de disposición final de residuos sólidos urbano en shapefile 	 http://dsiappsdev.semarnat.gob.mx/datos/cclimatico/sitios_de_disposicion_final_sdf.zip 	 200 	 0 	 Wed Jan 13 13:09:55 CST 2016
SHCP 	 shcp 	 Avances de Indicadores 2014 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Calendarios_MIR_2008-2014/MIR_Calendarios_2014.xls 	 000 	 0 	 Wed Jan 13 13:09:55 CST 2016
SHCP 	 shcp 	 Proyectos 2014 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Entidades_Federativas/4_Trimestre.xlsx 	 000 	 0 	 Wed Jan 13 13:09:55 CST 2016
SHCP 	 shcp 	 Avances de Indicadores 2008 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Calendarios_MIR_2008-2014/MIR_Calendarios_2008.xls 	 000 	 0 	 Wed Jan 13 13:09:55 CST 2016
SHCP 	 shcp 	 Avances de Indicadores 2009 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Calendarios_MIR_2008-2014/MIR_Calendarios_2009.xls 	 000 	 0 	 Wed Jan 13 13:09:55 CST 2016
SHCP 	 shcp 	 Avances de Indicadores 2010 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Calendarios_MIR_2008-2014/MIR_Calendarios_2010.xls 	 000 	 0 	 Wed Jan 13 13:09:55 CST 2016
SHCP 	 shcp 	 Avances de Indicadores 2011 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Calendarios_MIR_2008-2014/MIR_Calendarios_2011.xls 	 000 	 0 	 Wed Jan 13 13:09:55 CST 2016
SHCP 	 shcp 	 Avances de Indicadores 2012 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Calendarios_MIR_2008-2014/MIR_Calendarios_2012.xls 	 000 	 1 	 Wed Jan 13 13:09:56 CST 2016
SHCP 	 shcp 	 Avances de Indicadores 2013 	 http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Calendarios_MIR_2008-2014/MIR_Calendarios_2013.xlsx 	 000 	 0 	 Wed Jan 13 13:09:56 CST 2016
CIDETEQ 	 cideteq 	 Investigadores en el SNIIIIII 	 http://187.174.157.186:6710/InvestigadoresSNI.aspx 	 time_out 	 10 	 Wed Jan 13 13:10:06 CST 2016
CIDETEQ 	 cideteq 	 Control de Estudiantes en el 2014 	 http://187.174.157.186:6703/EstudiantesAtendidos.aspx 	 time_out 	 10 	 Wed Jan 13 13:10:16 CST 2016
CIDETEQ 	 cideteq 	 Formato de inventario general de archivo de trámite 	 http://187.174.157.186:6709/InventarioArchivos.aspx 	 time_out 	 10 	 Wed Jan 13 13:10:26 CST 2016
CIDETEQ 	 cideteq 	 REGISTRO DE PROPIEDAD INDUSTRIAL SOLICITADA, LICENCIADA E INTELECTUAL 2015 	 http://187.174.157.186:6708/TransferenciaConocimiento.aspx 	 time_out 	 10 	 Wed Jan 13 13:10:36 CST 2016
CIDETEQ 	 cideteq 	 Facturación y Cobranza 	 http://187.174.157.186:6707/IngresosPropios.aspx 	 time_out 	 10 	 Wed Jan 13 13:10:46 CST 2016
CIDETEQ 	 cideteq 	 Empresas atendidas 	 http://187.174.157.186:6706/EmpresasAtendidas.aspx 	 time_out 	 10 	 Wed Jan 13 13:10:56 CST 2016
CIDETEQ 	 cideteq 	 Proyectos comercializados 	 http://187.174.157.186:6705/ProyectosComercializados.aspx 	 time_out 	 10 	 Wed Jan 13 13:11:06 CST 2016
CIDETEQ 	 cideteq 	 Lista de Cursos externos. 	 http://187.174.157.186:6701/CursosExternos.aspx 	 time_out 	 10 	 Wed Jan 13 13:11:16 CST 2016
CIDETEQ 	 cideteq 	 Formatos de solicitudes atendidas y respuesta proprocionada 	 http://187.174.157.186:6700/SolicitudesAtendidas.aspx 	 time_out 	 10 	 Wed Jan 13 13:11:26 CST 2016
CIDETEQ 	 cideteq 	 Lista de expedientes con información reservada 	 http://187.174.157.186:6704/ExpedientesReservados.aspx 	 time_out 	 10 	 Wed Jan 13 13:11:36 CST 2016
SEMARNAT 	 semarnat 	 Inventario Institucional de Datos de SEMARNAT 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1078/InventarioDatosAbiertosSEMARNAT-Nov2015.xls 	 200 	 0 	 Wed Jan 13 13:11:36 CST 2016
SEMARNAT 	 semarnat 	 Agua residual que recibe tratamiento por entidad federativa 	 http://dsiappsdev.semarnat.gob.mx/datos/Tratamiento_X_ent_federativa.csv 	 200 	 0 	 Wed Jan 13 13:11:36 CST 2016
SEMARNAT 	 semarnat 	 Agua residual que recibe tratamiento 	 http://dsiappsdev.semarnat.gob.mx/datos/Tratamiento.csv 	 200 	 0 	 Wed Jan 13 13:11:37 CST 2016
SEMARNAT 	 semarnat 	 Eficiencia en el uso del agua en el sector agrícola de riego por Región Hidrológico-Administrativa 	 http://dsiappsdev.semarnat.gob.mx/datos/Eficiencia_agr%C3%ADcola_historico.csv 	 200 	 0 	 Wed Jan 13 13:11:37 CST 2016
SEMARNAT 	 semarnat 	 Eficiencia en el uso del agua en el sector agrícola de riego 	 http://dsiappsdev.semarnat.gob.mx/datos/Eficiencia_agr%C3%ADcola.csv 	 200 	 0 	 Wed Jan 13 13:11:37 CST 2016
SEMARNAT 	 semarnat 	 Grado de Presión por Región Hidrológico-Administrativa 	 http://dsiappsdev.semarnat.gob.mx/datos/Grado_presion_RHA.CSV 	 200 	 0 	 Wed Jan 13 13:11:37 CST 2016
SEMARNAT 	 semarnat 	 Grado de Presión de los recursos hídricos 	 http://dsiappsdev.semarnat.gob.mx/datos/Grado_presion_Nacional.csv 	 200 	 0 	 Wed Jan 13 13:11:37 CST 2016
ASE Chihuahua 	 ase-chihuahua 	 Catalogo_entes 	 http://www.auditoriachihuahua.gob.mx/portal/wp-content/uploads/2015/10/Catalogo_Entes.csv 	 200 	 0 	 Wed Jan 13 13:11:37 CST 2016
SAT 	 sat 	 Reporte de las operaciones de importación y exportación a nivel municipal 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/Products_Municipal.csv 	 200 	 0 	 Wed Jan 13 13:11:37 CST 2016
SAT 	 sat 	 Reporte de las operaciones de importación y exportación a nivel metropolitano 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/Products_ZonaMetropolitana.csv 	 200 	 1 	 Wed Jan 13 13:11:38 CST 2016
SAT 	 sat 	 Reporte de las operaciones de importación y exportación a nivel estatal 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/Products_Estatal.csv 	 200 	 0 	 Wed Jan 13 13:11:38 CST 2016
SAT 	 sat 	 Reporte de las operaciones de importación y exportación a nivel nacional 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/Products_Nacional.csv 	 200 	 0 	 Wed Jan 13 13:11:38 CST 2016
SAT 	 sat 	 Reporte de la lista de proyectos contratados por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_37_resecntie2.csv 	 200 	 0 	 Wed Jan 13 13:11:38 CST 2016
SAT 	 sat 	 Reporte de la lista de proyectos financiados por el Presupuesto de Egresos de la Federación 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/ProyFinanPEF.csv 	 200 	 0 	 Wed Jan 13 13:11:38 CST 2016
IPAB 	 ipab 	 Información en formato CSV que muestra los montos anuales de las cuotas pagadas por las Instituciones de Banca Múltiple, desde el año 2000 y acumulado al cierre del último trimestre calendario del año en curso. 	 http://www.ipab.org.mx/ipab/datosabiertos?od=01-51 	 200 	 1 	 Wed Jan 13 13:11:39 CST 2016
IPAB 	 ipab 	 Información en formato JSON que muestra los montos anuales de las cuotas pagadas por las Instituciones de Banca Múltiple, desde el año 2000 y acumulado al cierre del último trimestre calendario del año en curso. 	 http://www.ipab.org.mx/ipab/datosabiertos?od=02-51 	 200 	 1 	 Wed Jan 13 13:11:40 CST 2016
IPAB 	 ipab 	 Información en formato XML que muestra los montos anuales de las cuotas pagadas por las Instituciones de Banca Múltiple, desde el año 2000 y acumulado al cierre del último trimestre calendario del año en curso. 	 http://www.ipab.org.mx/ipab/datosabiertos?od=03-51 	 200 	 1 	 Wed Jan 13 13:11:41 CST 2016
IPAB 	 ipab 	 Información en formato XLS que muestra los montos anuales de las cuotas pagadas por las Instituciones de Banca Múltiple, desde el año 2000 y acumulado al cierre del último trimestre calendario del año en curso. 	 http://www.ipab.org.mx/ipab/datosabiertos?od=04-51 	 200 	 1 	 Wed Jan 13 13:11:42 CST 2016
ASE Chihuahua 	 ase-chihuahua 	 Calificaciones-IRC 	 http://www.auditoriachihuahua.gob.mx/portal/wp-content/uploads/2015/10/IRC_Calificaciones.csv 	 200 	 0 	 Wed Jan 13 13:11:42 CST 2016
ASE Chihuahua 	 ase-chihuahua 	 Fichas-ATR 	 http://www.auditoriachihuahua.gob.mx/portal/wp-content/uploads/2015/10/ATR.zip 	 200 	 0 	 Wed Jan 13 13:11:42 CST 2016
ASE Chihuahua 	 ase-chihuahua 	 Plan de Apertura Institucional de ASE Chihuahua 	 http://adela.datos.gob.mx/plan-de-apertura/ase-chihuahua/export.csv 	 200 	 4 	 Wed Jan 13 13:11:46 CST 2016
ASE Chihuahua 	 ase-chihuahua 	 Ejercicio-Presupuestal 	 http://www.auditoriachihuahua.gob.mx/portal/wp-content/uploads/2015/10/Informacion_Presupuestal_Municipios1.csv 	 200 	 0 	 Wed Jan 13 13:11:46 CST 2016
ASE Chihuahua 	 ase-chihuahua 	 Obras por municipio-año 	 http://www.auditoriachihuahua.gob.mx/portal/wp-content/uploads/2015/10/Obra_Publica_Municipios1.csv 	 200 	 0 	 Wed Jan 13 13:11:46 CST 2016
ASE Chihuahua 	 ase-chihuahua 	 Inventario Institucional de Datos de ASE Chihuahua 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1070/Inventario_datos_ASE.xlsx 	 200 	 1 	 Wed Jan 13 13:11:47 CST 2016
CMM 	 cmm 	 Inventario Institucional de Datos de CMM 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/416/Inventario_General_de_Datos_-_CMM.xlsx 	 200 	 0 	 Wed Jan 13 13:11:47 CST 2016
CMM 	 cmm 	 Tabla de expedientes generados que describe el contenido de cada serie documental descrita en el Catálogo de Disposición Documental 2015 	 http://datosabiertos.cmm.gob.mx/Administracion/Rec_Materiales/REPORTE_GUIA_SIMPLE.csv 	 200 	 4 	 Wed Jan 13 13:11:51 CST 2016
CMM 	 cmm 	 Plan de Apertura Institucional de CMM 	 http://adela.datos.gob.mx/plan-de-apertura/cmm/export.csv 	 200 	 1 	 Wed Jan 13 13:11:52 CST 2016
Instituto Mora 	 im 	 Listado que muestra el total de títulos disponibles en la Biblioteca del Instituto 	 http://datosabiertos.mora.edu.mx/files/DD/Biblioteca_catalogo.csv 	 200 	 0 	 Wed Jan 13 13:11:52 CST 2016
Instituto Mora 	 im 	 Actividades de divulgación del personal de ciencia y tecnología 	 http://datosabiertos.institutomora.edu.mx/files/DI/actividadesdedivulgacion.xlsx 	 200 	 0 	 Wed Jan 13 13:11:52 CST 2016
Instituto Mora 	 im 	 Proyectos de investigación con financiamiento externo 	 http://datosabiertos.institutomora.edu.mx/files/DI/proyectosconfinanciamientoexterno.xlsx 	 200 	 0 	 Wed Jan 13 13:11:52 CST 2016
Instituto Mora 	 im 	 Listado del total de libros publicados por el Instituto Mora. 	 http://datosabiertos.institutomora.edu.mx/files/DI/catalogopublicaciones1982-2015.xlsx 	 200 	 0 	 Wed Jan 13 13:11:52 CST 2016
Instituto Mora 	 im 	 Relación de libros registrados ante INDAUTOR 	 http://datosabiertos.institutomora.edu.mx/files/DI/titulosenindautor.xlsx 	 200 	 0 	 Wed Jan 13 13:11:52 CST 2016
Instituto Mora 	 im 	 Publicaciones Arbitradas de los profesores con categoría \Titular\ 	 http://datosabiertos.institutomora.edu.mx/files/DI/publicacionesarbitradas.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
Instituto Mora 	 im 	 Profesores investigadores 	 http://datosabiertos.institutomora.edu.mx/files/DI/profesoresinvestigadores.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
Instituto Mora 	 im 	 Listado de alumnos inscritos por programa académico 	 http://datosabiertos.institutomora.edu.mx/files/DD/alumnosvigentes.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
Instituto Mora 	 im 	 Listado de alumnos graduados por programa 	 http://datosabiertos.institutomora.edu.mx/files/DD/egresados.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
Instituto Mora 	 im 	 Listado que muestra el número de programas y su nivel en el Programa Nacional de Posgrados de Calidad 	 http://datosabiertos.institutomora.edu.mx/files/DD/programaspnpc.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
Instituto Mora 	 im 	 Organigrama  	 http://datosabiertos.institutomora.edu.mx/files/DAF/estructuraorganica.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
INALI 	 inali 	 Población de 3 años y más hablante de alguna lengua indígena por agrupación lingüística según entidad federativa, 2010. 	 http://site.inali.gob.mx/descargas/Est01_EdoxAgrup2010.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
INALI 	 inali 	 Población de 5 años y más hablante de alguna lengua indígena por familia y agrupación lingüística para los años 2000, 2005 y 2010. 	 http://site.inali.gob.mx/descargas/Est02_HLI2000-2010.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
INALI 	 inali 	 Población de 3 años y más hablante de alguna lengua indígena por familia y agrupación lingüística según grandes grupos de edad y sexo, 2010. 	 http://site.inali.gob.mx/descargas/Est03_EdadxSexo2010.xlsx 	 200 	 0 	 Wed Jan 13 13:11:53 CST 2016
INALI 	 inali 	 Población de 3 años y más hablante de alguna lengua indígena por familia y agrupación lingüística según bilingüismo lengua indígena-español, 2010. 	 http://site.inali.gob.mx/descargas/Est04_HLIBilinguismo2010.xlsx 	 200 	 0 	 Wed Jan 13 13:11:54 CST 2016
Ayuntamiento de Reynosa 	 ayuntamiento-de-reynosa 	 Inventario Institucional de Datos de Ayuntamiento de Reynosa 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1069/REYNOSA-2015-23-11.xlsx 	 200 	 0 	 Wed Jan 13 13:11:54 CST 2016
SAT 	 sat 	 Reporte de las solicitudes atendidas por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/Inaiaten.csv 	 200 	 0 	 Wed Jan 13 13:11:54 CST 2016
SAT 	 sat 	 Reporte de las solicitudes recibidas por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/Inai.csv 	 200 	 0 	 Wed Jan 13 13:11:54 CST 2016
SAT 	 sat 	 Reporte de la eficiencia para combatir o disminuir la evasión fiscal 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/PerEfiPAra.csv 	 200 	 0 	 Wed Jan 13 13:11:55 CST 2016
SAT 	 sat 	 Reporte de trámites y servicios solicitados 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/RestramServSol.csv 	 200 	 0 	 Wed Jan 13 13:11:55 CST 2016
SAT 	 sat 	 Reporte del indicador general de percepción de corrupción 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/IndPercCorru.csv 	 200 	 0 	 Wed Jan 13 13:11:55 CST 2016
SAT 	 sat 	 Reporte de la percepción de riesgo del contribuyente para ser sujeto a una sanción por parte del SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/PercRiesContri.csv 	 200 	 0 	 Wed Jan 13 13:11:55 CST 2016
SAT 	 sat 	 Reporte del número de visitas a módulos para concluir un trámite por contribuyente 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/NumVisitasMod.csv 	 200 	 0 	 Wed Jan 13 13:11:55 CST 2016
SAT 	 sat 	 Reporte de la calificación del tiempo que invierte un contribuyente para realizar un trámite 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/Resecntram.csv 	 200 	 1 	 Wed Jan 13 13:11:56 CST 2016
SAT 	 sat 	 Reporte del costo de cumplimiento 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/ResencCostCum.csv 	 200 	 0 	 Wed Jan 13 13:11:56 CST 2016
SAT 	 sat 	 Reporte de la percepción de los contribuyentes acerca de la imagen de la Institución 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/ImagenDeInst.csv 	 200 	 0 	 Wed Jan 13 13:11:56 CST 2016
SAT 	 sat 	 Reporte de los contribuyentes incumplidos por motivo de publicación 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_32_ContribIncumplidos.csv 	 200 	 0 	 Wed Jan 13 13:11:56 CST 2016
SAT 	 sat 	 Reporte del número de adeudos en la cartera administrada por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/NumDeAdeuPorAnti.csv 	 200 	 0 	 Wed Jan 13 13:11:56 CST 2016
SAT 	 sat 	 Reporte del importe de los adeudos autorizados en parcialidades 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/ImpAdeudAutorizados.csv 	 200 	 0 	 Wed Jan 13 13:11:56 CST 2016
SAT 	 sat 	 Reporte del importe de los adeudos que se encuentran en la cartera administrada por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/MonPorAnt2.csv 	 200 	 0 	 Wed Jan 13 13:11:56 CST 2016
SAT 	 sat 	 Reporte del número de adeudos dados de alta en la cartera administrada por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/NumAdeuEnLaCarDelSAT.csv 	 200 	 1 	 Wed Jan 13 13:11:57 CST 2016
SAT 	 sat 	 Reporte del número de adeudos dados de baja en la cartera administrada por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/NumDeAudDaDeBaj.csv 	 200 	 0 	 Wed Jan 13 13:11:57 CST 2016
SAT 	 sat 	 Reporte del importe de los adeudos dados de alta en la cartera administrada por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/ImporteAdeudosAlta.csv 	 200 	 0 	 Wed Jan 13 13:11:57 CST 2016
SAT 	 sat 	 Reporte del importe de los adeudos dados de baja en la cartera administrada por el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/ImporteAdeudosBaja.csv 	 200 	 0 	 Wed Jan 13 13:11:57 CST 2016
SAT 	 sat 	 Reporte del importe de los adeudos recuperados de la cartera que administra el SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/ImpDeLosAudeRecu.csv 	 200 	 0 	 Wed Jan 13 13:11:57 CST 2016
SAT 	 sat 	 Reporte de la recaudación derivada de la cobranza de adeudos fiscales 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/RecaDerCaobAF.csv 	 200 	 0 	 Wed Jan 13 13:11:57 CST 2016
SAT 	 sat 	 Plan de Apertura Institucional de SAT 	 http://adela.datos.gob.mx/plan-de-apertura/sat/export.csv 	 200 	 1 	 Wed Jan 13 13:11:58 CST 2016
SAT 	 sat 	 Reporte del número de sentencias condenatorias 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_20_SentenciasCondenatorias.csv 	 200 	 0 	 Wed Jan 13 13:11:58 CST 2016
SAT 	 sat 	 Reporte del monto de las sentencias definitivas favorables al SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_19_DFmontofavorable.csv 	 200 	 0 	 Wed Jan 13 13:11:58 CST 2016
SAT 	 sat 	 Reporte del monto de las sentencias definitivas notificadas 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_18_DFmontodisputa.csv 	 200 	 0 	 Wed Jan 13 13:11:58 CST 2016
SAT 	 sat 	 Reporte del número de sentencias definitivas favorables al SAT 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_17_DFsentenciasDefiniFavo.csv 	 200 	 0 	 Wed Jan 13 13:11:58 CST 2016
SAT 	 sat 	 Reporte del número de sentencias definitivas notificadas 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_16_DFsentenciasDefiniNotifi.csv 	 200 	 1 	 Wed Jan 13 13:11:59 CST 2016
SAT 	 sat 	 Reporte de la recaudación obtenida de los programas de control de obligaciones  	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/RecaDerVigObl.csv 	 200 	 0 	 Wed Jan 13 13:11:59 CST 2016
SAT 	 sat 	 Reporte del número de actos de los programas de control de obligaciones fiscales 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/NumActPorCont.csv 	 200 	 0 	 Wed Jan 13 13:11:59 CST 2016
SAT 	 sat 	 Reporte del padrón de empresas certificadas como Operador Económico Autorizado (OEA) 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/FORMATO_38_EmpCer.csv 	 200 	 0 	 Wed Jan 13 13:11:59 CST 2016
SAT 	 sat 	 Reporte del padrón de contribuyentes activos por sector de actividad económica 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/SectorActEco.csv 	 200 	 0 	 Wed Jan 13 13:11:59 CST 2016
SAT 	 sat 	 Reporte del padrón de contadores públicos registrados (CPR's) 	 http://componentes.clouda.sat.gob.mx/datosabiertos/SAT/F1_FORMATO_G_CPR.csv 	 200 	 0 	 Wed Jan 13 13:11:59 CST 2016
